*****,MODTRAN3Version1.3,12/1/95,*****(WaterVapor==1)
RADIANCE(WATTS/CM2-STER-XXX)
FREQ (CM-1),WAVLEN (MICRN),PATH THERMAL (CM-1),PATH THERMAL (MICRN),SURF EMISSION (CM-1),SURF EMISSION (MICRN),SURF REFLECTED (CM-1),SURF REFLECTED (MICRN),TOTAL RADIANCE (CM-1),TOTAL RADIANCE (MICRN),INTEGRAL (CM-1),TOTAL TRANS
150.,66.667,3.69E-06,8.30E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.69E-06,8.30E-06,2.08E-04,0.00000
152.,65.789,3.77E-06,8.70E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.77E-06,8.70E-06,2.16E-04,0.00000
154.,64.935,3.84E-06,9.12E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.84E-06,9.12E-06,2.24E-04,0.00000
156.,64.103,3.92E-06,9.55E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.92E-06,9.55E-06,2.31E-04,0.00000
158.,63.291,4.00E-06,9.99E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.00E-06,9.99E-06,2.39E-04,0.00000
160.,62.500,4.08E-06,1.04E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.08E-06,1.04E-05,2.48E-04,0.00000
162.,61.728,4.16E-06,1.09E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.16E-06,1.09E-05,2.56E-04,0.00000
164.,60.976,4.24E-06,1.14E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.24E-06,1.14E-05,2.64E-04,0.00000
166.,60.241,4.32E-06,1.19E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.32E-06,1.19E-05,2.73E-04,0.00000
168.,59.524,4.40E-06,1.24E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.40E-06,1.24E-05,2.82E-04,0.00000
170.,58.824,4.48E-06,1.29E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.48E-06,1.29E-05,2.91E-04,0.00000
172.,58.140,4.56E-06,1.35E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.56E-06,1.35E-05,3.00E-04,0.00000
174.,57.471,4.64E-06,1.41E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.64E-06,1.41E-05,3.09E-04,0.00000
176.,56.818,4.72E-06,1.46E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.72E-06,1.46E-05,3.19E-04,0.00000
178.,56.180,4.80E-06,1.52E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.80E-06,1.52E-05,3.28E-04,0.00000
180.,55.556,4.88E-06,1.58E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.88E-06,1.58E-05,3.38E-04,0.00000
182.,54.945,4.97E-06,1.64E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.97E-06,1.64E-05,3.48E-04,0.00000
184.,54.348,5.05E-06,1.71E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.05E-06,1.71E-05,3.58E-04,0.00000
186.,53.763,5.13E-06,1.77E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.13E-06,1.77E-05,3.68E-04,0.00000
188.,53.191,5.21E-06,1.84E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.21E-06,1.84E-05,3.79E-04,0.00000
190.,52.632,5.29E-06,1.91E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.29E-06,1.91E-05,3.89E-04,0.00000
192.,52.083,5.37E-06,1.98E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.37E-06,1.98E-05,4.00E-04,0.00000
194.,51.546,5.45E-06,2.05E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.45E-06,2.05E-05,4.11E-04,0.00000
196.,51.020,5.53E-06,2.13E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.53E-06,2.13E-05,4.22E-04,0.00000
198.,50.505,5.62E-06,2.20E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.62E-06,2.20E-05,4.33E-04,0.00000
200.,50.000,5.70E-06,2.28E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.70E-06,2.28E-05,4.45E-04,0.00000
202.,49.505,5.78E-06,2.36E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.78E-06,2.36E-05,4.56E-04,0.00000
204.,49.020,5.86E-06,2.44E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.86E-06,2.44E-05,4.68E-04,0.00000
206.,48.544,5.94E-06,2.52E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.94E-06,2.52E-05,4.80E-04,0.00000
208.,48.077,6.02E-06,2.61E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.02E-06,2.61E-05,4.92E-04,0.00000
210.,47.619,6.10E-06,2.69E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.10E-06,2.69E-05,5.04E-04,0.00000
212.,47.170,6.19E-06,2.78E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.19E-06,2.78E-05,5.16E-04,0.00000
214.,46.729,6.27E-06,2.87E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.27E-06,2.87E-05,5.29E-04,0.00000
216.,46.296,6.35E-06,2.96E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.35E-06,2.96E-05,5.42E-04,0.00000
218.,45.872,6.43E-06,3.06E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.43E-06,3.06E-05,5.54E-04,0.00000
220.,45.455,6.51E-06,3.15E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.51E-06,3.15E-05,5.67E-04,0.00000
222.,45.045,6.59E-06,3.25E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.59E-06,3.25E-05,5.81E-04,0.00000
224.,44.643,6.67E-06,3.35E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.67E-06,3.35E-05,5.94E-04,0.00000
226.,44.248,6.75E-06,3.45E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.75E-06,3.45E-05,6.07E-04,0.00000
228.,43.860,6.83E-06,3.55E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.83E-06,3.55E-05,6.21E-04,0.00000
230.,43.478,6.91E-06,3.66E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.91E-06,3.66E-05,6.35E-04,0.00000
232.,43.103,6.99E-06,3.76E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.99E-06,3.76E-05,6.49E-04,0.00000
234.,42.735,7.07E-06,3.87E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.07E-06,3.87E-05,6.63E-04,0.00000
236.,42.373,7.15E-06,3.98E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.15E-06,3.98E-05,6.77E-04,0.00000
238.,42.017,7.23E-06,4.10E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.23E-06,4.10E-05,6.92E-04,0.00000
240.,41.667,7.31E-06,4.21E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.31E-06,4.21E-05,7.06E-04,0.00000
242.,41.322,7.39E-06,4.33E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.39E-06,4.33E-05,7.21E-04,0.00000
244.,40.984,7.47E-06,4.44E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.47E-06,4.44E-05,7.36E-04,0.00000
246.,40.650,7.54E-06,4.57E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.54E-06,4.57E-05,7.51E-04,0.00000
248.,40.323,7.62E-06,4.69E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.62E-06,4.69E-05,7.67E-04,0.00000
250.,40.000,7.70E-06,4.81E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.70E-06,4.81E-05,7.82E-04,0.00000
252.,39.683,7.78E-06,4.94E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.78E-06,4.94E-05,7.97E-04,0.00000
254.,39.370,7.86E-06,5.07E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.86E-06,5.07E-05,8.13E-04,0.00000
256.,39.063,7.93E-06,5.20E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.93E-06,5.20E-05,8.29E-04,0.00000
258.,38.760,8.01E-06,5.33E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.01E-06,5.33E-05,8.45E-04,0.00000
260.,38.462,8.09E-06,5.47E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.09E-06,5.47E-05,8.61E-04,0.00000
262.,38.168,8.16E-06,5.60E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.16E-06,5.60E-05,8.78E-04,0.00000
264.,37.879,8.24E-06,5.74E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.24E-06,5.74E-05,8.94E-04,0.00000
266.,37.594,8.31E-06,5.88E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.31E-06,5.88E-05,9.11E-04,0.00000
268.,37.313,8.39E-06,6.03E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.39E-06,6.03E-05,9.27E-04,0.00000
270.,37.037,8.46E-06,6.17E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.46E-06,6.17E-05,9.44E-04,0.00000
